ID,Date,HOUSING,NGDP,PGDP,UNEMPLOY,INPROD,RGDP,RCON,RINV,RINVRES,RFEDGOV,RGSL,RCBI,CPI,PCON,EMPLOY
107,1974:Q3,1193.666667,1411.6,27.659,5.5,125.4666667,821.1,546.7,95.3,23.6,56.1,89.3,3.2,49.93333333,164.6058,77091.33333
108,1974:Q4,994,1428,28.498,6.6,121.7333333,803.7,530.1,89.3,20.4,56.3,89.5,9.1,51.46666667,169.1756,77844.33333
109,1975:Q1,981.3333333,1419.2,29.142,8.366666667,111.2,782.3,532.3,84.1,17.5,58,90.3,-11,52.56666667,172.1398,76735.33333
110,1975:Q2,1062,1433.4,29.565,8.9,109.5333333,779.4,539.6,81,17.4,58.5,90.9,-18.8,53.2,173.851,76400
111,1975:Q3,1246,1497.8,30.087,8.366666667,113.3,804.6,548.9,80.4,19.3,58.4,91.2,-3.4,54.26666667,176.7171,76866
112,1975:Q4,1380.666667,1573.2,30.59,8.466666667,117.2666667,1217.4,778.2,113,40.7,95.9,165.2,-0.4,55.26666667,128.3346,77613
113,1976:Q1,1406.666667,1616.3,30.925,7.633333333,120.0333333,1238.4,793.7,114.4,42.1,95.8,165.7,9.5,55.9,129.6082,78331.66667
114,1976:Q2,1426.333333,1673,31.233,7.433333333,125.2,1259.7,808.7,115.2,45.8,96.7,167.9,9.5,56.4,131.6434,78958.33333
115,1976:Q3,1581,1709.7,31.632,7.833333333,131.0333333,1272.2,816.4,117,46.9,97.2,168.4,9.9,57.3,133.3782,79371
116,1976:Q4,1812.333333,1748.5,32.169,7.9,131.7333333,1281.5,826.6,117.8,51.3,98.1,167.7,1.1,58.13333333,135.1924,79727
117,1977:Q1,1764.333333,1792.5,32.689,7.366666667,133.2666667,1296.8,842.2,121.9,51.9,97.3,166.5,4.9,59.2,137.3545,80891.66667
118,1977:Q2,1879,1869,33.205,7,137.5,1331.6,854.6,127,57.5,101,168.8,12.5,60.23333333,139.7145,81830.66667
119,1977:Q3,2042,1911.3,33.662,6.966666667,138.6666667,1343.2,858,127.7,57.8,105.6,171.4,13.2,61.06666667,141.8065,82516.33333
120,1977:Q4,2193,1965.1,34.225,6.7,139.4666667,1361.4,876.4,130.2,59.8,104.1,172.8,7.7,61.96666667,143.2337,83194
121,1978:Q1,1734.333333,1992.9,34.786,6.2,139.6,1358.3,879.2,129.4,59,102.1,172.8,11.3,63.03333333,146.0419,84085.66667
122,1978:Q2,2121,2076.9,35.48,5.933333333,143.5,1378.6,886.5,138.6,60.1,97.3,175.1,13.1,64.46666667,149.3514,85410
123,1978:Q3,2062.333333,2141.1,36.106,6.033333333,146.4666667,1394.3,893.7,140.4,59.7,101.9,175.9,10.7,65.96666667,151.5609,86084.33333
124,1978:Q4,2103,2210.8,36.819,5.833333333,149.4333333,1412.2,910,143.5,59.8,103.3,176.8,7.7,67.5,154.0879,86967
125,1979:Q1,1620,2265.6,37.507,5.733333333,151.3666667,1417.3,915.7,145.9,58.1,102.1,174.9,11.8,69.2,157.77,87831.66667
126,1979:Q2,1837,2327.2,38.413,5.733333333,151.3333333,1418.8,913.5,145.4,56.9,98.5,174.9,16.8,71.4,161.3793,88454.33333
127,1979:Q3,1821,2391.5,39.215,5.833333333,151.7666667,1430.8,924.8,148.2,56,97.6,175,10,73.7,165.2898,89140.33333
128,1979:Q4,1601.666667,2455.8,39.93,5.9,152.1,1438.4,935.2,148,55,100.4,175.9,-0.7,76.03333333,168.9906,90254
129,1980:Q1,1265,2520.3,40.804,6.133333333,152.3,1444.2,939,151,52.8,105,175.7,4.1,79.03333333,174.0256,90633.66667
130,1980:Q2,1043.333333,2523.4,41.771,7.5,145.0666667,1410.8,913.6,143.9,41.1,106.6,174,-2.5,81.7,178.218,90245.33333
131,1980:Q3,1403,2583,42.703,7.633333333,140.5666667,1412.1,922.4,144.1,41.2,105.6,173.9,-6.8,83.23333333,182.3287,90032.33333
132,1980:Q4,1557.333333,2741.4,43.835,7.5,148.4,1490.1,943,154.3,49.8,108.6,181.6,-1.7,85.56666667,184.9841,90874.66667
133,1981:Q1,1362.333333,2826.8,44.997,7.333333333,151.4333333,1509.2,957.8,161.7,50.7,110.6,182.3,2.4,87.93333333,188.4945,91561.66667
134,1981:Q2,1175.666667,2881,45.842,7.4,152.7666667,1509.1,955.6,159.5,48.2,109.3,180.8,9.7,89.76666667,191.5341,91494.66667
135,1981:Q3,970,2947,46.733,7.233333333,152.7666667,1508.2,965.2,161,43.2,110.2,178.9,10.3,92.26666667,195.6693,91956
136,1981:Q4,902,2984.9,47.505,8.366666667,146.4333333,1495.6,958.3,159.2,39.5,114.5,178.8,8.5,93.76666667,199.2591,91503.33333
137,1982:Q1,931.3333333,2995.1,48.186,8.766666667,140.7,1483.6,966.8,162.4,38.3,118.3,177.5,-17.5,94.6,201.7687,90872.33333
138,1982:Q2,959.3333333,3047.4,48.826,9.466666667,139.8,1476.8,956.3,168.2,39.2,109.4,175,-6.9,95.96666667,203.9946,90190.66667
139,1982:Q3,1119.666667,3091.4,49.504,9.9,137.8,1481.2,958.4,161,40.5,115.3,174.7,0.7,97.63333333,207.5856,89444
140,1982:Q4,1257.333333,3101.3,50.005,10.63333333,135.5333333,1471.7,968,159.6,41.7,123.7,175.4,-17.7,97.93333333,210.186,88719.33333
141,1983:Q1,1694.333333,3176.7,50.404,10.36666667,137.5333333,1488.5,972.4,162,49.9,117.5,175.1,-12.4,98,211.2299,88814.33333
142,1983:Q2,1676,3273.7,50.778,10.1,144.2666667,1521.4,1010.5,161.8,51.2,118.2,174,-8.4,99.13333333,212.8946,89478
143,1983:Q3,1776,3363.3,51.318,9.433333333,150.9333333,1554.4,1019.2,168.7,56.9,119.6,176.6,-2.5,100.1,214.531,90192.66667
144,1983:Q4,1677,3432,51.702,8.466666667,156,1570.5,1032.2,178.9,56.1,116.9,176.3,7.5,101.1,216.3437,91380.66667
145,1984:Q1,1916.666667,3541.2,52.212,7.866666667,159.5666667,1604.3,1046.8,185.9,59.7,114.4,177.3,26.6,102.5333333,217.8544,92203
146,1984:Q2,1881.666667,3646.4,52.681,7.466666667,163.3,1640.2,1061.7,202.6,62,123.7,178.7,21.5,103.5,219.1485,93540
147,1984:Q3,1658,3701.2,53.157,7.466666667,165.6333333,1649.6,1064.6,206.8,61.2,127.4,181.1,31.2,104.4,221.6138,94519.66667
148,1984:Q4,1543.333333,3752.5,53.528,7.233333333,165.4666667,1661.1,1076.2,215.1,59.8,129.1,181.9,14.2,105.3,222.8768,95482
149,1985:Q1,1788.666667,3819.9,54.076,7.333333333,165.5666667,1668,1087.9,215.6,59.1,129.3,181.3,20.7,106.2666667,224.5427,96219.66667
150,1985:Q2,1760.333333,3853.5,54.396,7.3,151.7666667,1670.7,1103.1,219.9,62,130.6,183.1,5.8,107.2333333,226.2805,97220
151,1985:Q3,1662,3916.1,54.757,7.133333333,124.8,1684.8,1115.2,217.7,62.5,139.4,186.1,19.8,107.9,227.448,97939
152,1985:Q4,1715.666667,4075.1,55.042,7,125.3333333,3605,2328.7,485.4,176.7,343.7,398,7.7,109,113.0803,98780.33333
153,1986:Q1,2007.333333,4116.7,55.313,7.066666667,125.8333333,3619.2,2354.8,469.1,179.6,316.7,398.9,26,109.5666667,113.4109,99736.33333
154,1986:Q2,1914,4182.3,55.507,7.166666667,124.4666667,3665.7,2407,454.8,193.1,325.1,412.4,19.6,109.0333333,113.4233,99935
155,1986:Q3,1773.333333,4234.3,55.771,6.9,124.7333333,3683.3,2450.4,457.1,196.1,329.3,419.5,-5.9,109.7,114.2385,100315
156,1986:Q4,1682.666667,4268.4,56.102,6.866666667,125.9,3702.4,2445.1,451,199.3,353.5,420.6,-11.5,110.4666667,115.3286,101049.6667
157,1987:Q1,1810.333333,4339.2,56.427,6.666666667,126.9666667,3735.2,2443.1,442.4,196,332.3,424.6,31,111.9,116.8311,101915
158,1987:Q2,1636.333333,4448.8,56.81,6.233333333,127.4333333,3796.4,2488.7,434.2,198,326.3,435.9,41.2,113.1666667,118.2947,101948.3333
159,1987:Q3,1620.666667,4512,57.248,5.966666667,130.5666667,3831.2,2517,461.8,196.7,338.3,437.3,-0.7,114.3666667,119.3365,102265
160,1987:Q4,1508,4598,57.678,5.9,132.5,3875.1,2496.6,459.6,196.3,354.5,440.5,58.3,115.4333333,120.7682,103253.6667
161,1988:Q1,1471.333333,4660.9,58.124,5.7,134.2666667,3902.6,2528.2,488.3,192.2,325.3,442.9,57.9,116.3,121.3788,104208.6667
162,1988:Q2,1466.333333,4806.9,58.704,5.433333333,136.0666667,3986.3,2574.2,489.2,190.8,325.3,451.9,45,117.6333333,123.7977,105387
163,1988:Q3,1459.333333,4899.5,59.423,5.466666667,138.0666667,4007.3,2601.3,495.7,190.2,326.1,455,33.8,119.0666667,125.2297,106491.6667
164,1988:Q4,1547,4989.9,59.97,5.333333333,139.7666667,4029.2,2621.9,490.4,197.4,332.9,458,29.2,120.4,126.6295,107382
165,1989:Q1,1529.333333,5116.8,60.547,5.166666667,141.0666667,4088.2,2634.8,502.8,194.8,333.2,464.5,53.8,121.7666667,128.2982,108306
166,1989:Q2,1357.333333,5194.9,61.202,5.266666667,141.2,4123.9,2648.2,510.2,188.6,341.3,466.3,22,123.7,129.8203,108437.3333
